Country Name,name,day,Cumulative Deaths,Confirmed_Cases,id,population
Qatar,Qatar,4/9/2020,6,2210,QAT,840926
French Polynesia,French Polynesia,4/9/2020,0,47,179,291000
Latvia,Latvia,4/9/2020,2,548,LVA,2217969
Lithuania,Lithuania,4/9/2020,15,880,LTU,3545319
Chile,Chile,4/9/2020,43,5116,CHL,16746491
Hungary,Hungary,4/9/2020,58,895,HUN,9880059
Honduras,Honduras,4/9/2020,22,305,HND,7989415
Namibia,Namibia,4/9/2020,0,16,NAM,2128471
Spain,Spain,4/9/2020,13798,140510,ESP,40548753
Isle of Man,Isle of Man,4/9/2020,1,150,199,76913
Mexico,Mexico,4/9/2020,125,2439,MEX,112468855
Belgium,Belgium,4/9/2020,2035,22194,BEL,10423493
Ecuador,Ecuador,4/9/2020,191,3747,ECU,14790608
San Marino,San Marino,4/9/2020,34,279,211,31477
Saudi Arabia,Saudi Arabia,4/9/2020,41,2932,SAU,29207277
Sudan,Sudan,4/9/2020,2,14,SDN,41980182
Somalia,Somalia,4/9/2020,0,8,SOM,10112453
Jersey,Jersey,4/9/2020,3,170,195,91812
Iran,Iran,4/9/2020,3993,64586,IRN,67037517
